"transcript_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"NM_001256008>PNPLA8",0.871827888888889,2.11895508695652,1.80085548605268,0.0785565247115037,0.512494806942182,-4.13473351755711,"PNPLA8"
"NM_001300988>PTBP2",-1.33769808571429,-1.24716953478261,-1.80024457208826,0.0786544134342349,0.512494806942182,-4.13556681193497,"PTBP2"
"NM_001322325>RALGPS1",-1.37839786349206,-2.00891746304348,-1.80120083684056,0.0785012334107277,0.512494806942182,-4.13426235024296,"RALGPS1"
"NM_001323894>RMDN3",0.581694523809525,1.70141365,1.7996245964687,0.0787538590524967,0.512494806942182,-4.13641222508334,"RMDN3"
"NM_001163436>TBCK",1.3697966031746,-0.270652973913043,1.80275636930377,0.0782525956231447,0.512494806942182,-4.13213917858656,"TBCK"
"NM_001130924>TMEM201",-1.12153742857143,-0.219330456521739,-1.80164328259962,0.0784304448876514,0.512494806942182,-4.1336586045416,"TMEM201"
"NM_001351202>TMEM94",-1.20204682539682,1.85641663673913,-1.79986213015578,0.0787157455687524,0.512494806942182,-4.13608834737731,"TMEM94"
"NM_001256124>TRIM65",0.642872285714286,1.79959913043478,1.8012974740314,0.0784857674834233,0.512494806942182,-4.13413049314869,"TRIM65"
"NM_001308158>TGFA",0.599515746031746,0.438933504347826,1.7991967684287,0.0788225453986674,0.512534366883392,-4.136995479478,"TGFA"
"NM_001099666>PTAR1",0.788542131746032,1.19840140652174,1.7989775875274,0.0788577536721613,0.512559746278006,-4.13729424209014,"PTAR1"
"NM_001205247>ACSL6",-0.889178015873015,-1.10746243913043,-1.79861482641562,0.0789160551214334,0.512735147025091,-4.13778865018692,"ACSL6"
"NM_001142677>CHID1",1.28588707936508,-0.69893817826087,1.79765654921723,0.0790702398632401,0.513007033551732,-4.13909428802442,"CHID1"
"NM_001081562>DMPK",-1.89318550793651,-2.75379788478261,-1.79745620475826,0.0791025068614468,0.513007033551732,-4.13936718075427,"DMPK"
"NM_001037165>FOXK1",-0.561415873015872,3.93937347826087,-1.79633909551484,0.0792826289119027,0.513007033551732,-4.14088834893877,"FOXK1"
"NM_001243042>HLA-C",-0.775912222222219,8.85478326086957,-1.7968566375352,0.0791991378962719,0.513007033551732,-4.14018370999852,"HLA-C"
"NM_001282211>NDRG2",1.13386059047619,-1.08108985217391,1.79651735088048,0.0792538640120044,0.513007033551732,-4.14064567152703,"NDRG2"
"NM_001256549>PCGF5",0.82475388888889,1.77509932608696,1.7960653384724,0.0793268219224021,0.513007033551732,-4.14126100343565,"PCGF5"
"NM_001037872>REV1",-0.859422307936508,0.213612537326087,-1.79582755663932,0.0793652242097684,0.513007033551732,-4.14158464778965,"REV1"
"NM_001172218>SCMH1",1.28039576190476,-2.59517704347826,1.79648477437707,0.079259120196053,0.513007033551732,-4.14069002278373,"SCMH1"
"NM_001346495>TAOK3",1.41908101269841,2.08733511304348,1.79675889163616,0.0792149008129517,0.513007033551732,-4.14031680507124,"TAOK3"
"NM_001308315>TSPAN2",1.7745693968254,0.340104797826087,1.79667615315596,0.0792282456317373,0.513007033551732,-4.14042946065944,"TSPAN2"
"NM_001289176>VPS52",1.54528946031746,-1.07489773913043,1.796009214636,0.0793358846359223,0.513007033551732,-4.14133739670136,"VPS52"
"NM_001258040>HARS",-1.60299238095238,-3.28526863695652,-1.79423885909442,0.0796222036871052,0.513538682450565,-4.14374610128802,"HARS"
"NM_000966>RARG",-2.31674,-0.957950217391304,-1.79415576817465,0.0796356632713605,0.513538682450565,-4.14385910405759,"RARG"
"NM_001303024>ZNRD2",-2.02578597936508,-2.04174040217391,-1.79322944444827,0.0797858445191888,0.513899934033312,-4.14511859810404,"ZNRD2"
"NM_001256576>ENC1",-1.0878214015873,0.82596357173913,-1.79261516609856,0.0798855662899014,0.513998878520508,-4.14595351356262,"ENC1"
"NM_000234>LIG1",-2.25316877777778,-1.85853946956522,-1.79171743284279,0.0800314924496686,0.513998878520508,-4.14717326509816,"LIG1"
"NM_001300769>LYPLAL1",1.05233626984127,-1.12630838695652,1.79140267829073,0.0800827086781531,0.513998878520508,-4.14760080154147,"LYPLAL1"
"NM_001178106>ZNF185",-1.74122628888889,-0.529034743478261,-1.79149850512954,0.0800671130120687,0.513998878520508,-4.1474706449767,"ZNF185"
"NM_001099783>C4orf33",1.06626715873016,0.604639334782609,1.79074957638791,0.0801890679754014,0.514271684277809,-4.1484877204032,"C4orf33"
"NM_001042693>SHISAL2A",-0.903860806349206,0.326441017391304,-1.79045567605181,0.0802369690976344,0.514377406043684,-4.14888675167111,"SHISAL2A"
"NM_001001795>C8orf82",-0.988356111111111,1.3036780826087,-1.78856898756764,0.0805450424255919,0.514546953183988,-4.15144702084574,"C8orf82"
"NM_001289083>CD300LF",-0.735693269841269,1.63934926086957,-1.78943268710696,0.0804038876830626,0.514546953183988,-4.15027524594797,"CD300LF"
"NM_001297429>DGKH",1.39158107936508,0.420177377391304,1.78961398913319,0.0803742838279584,0.514546953183988,-4.15002921466497,"DGKH"
"NM_001114753>ENG",-2.30634428571429,-0.439164086956522,-1.788354810249,0.0805800776949893,0.514546953183988,-4.15173752037107,"ENG"
"NM_001184873>FCRLA",1.16859750793651,-3.33230217391304,1.78965843727316,0.0803670275225234,0.514546953183988,-4.14996889426738,"FCRLA"
"NM_001346755>PIGW",1.33884333333333,-0.274007328021739,1.78824885776624,0.0805974142048259,0.514546953183988,-4.15188121831082,"PIGW"
"NM_001304422>SLMAP",1.79912507936508,-2.45526669130435,1.78832822309231,0.0805844277328565,0.514546953183988,-4.15177357984344,"SLMAP"
"NM_001145404>ZNF506",1.52982851269841,-0.848176930434783,1.7889997220668,0.0804746213268699,0.514546953183988,-4.15086270567732,"ZNF506"
"NM_001278730>GAS2L1",1.47160247619047,-1.20913958695652,1.78785110839375,0.0806625240334567,0.514565876321292,-4.15242060185073,"GAS2L1"
"NM_001287214>AMD1",0.900103698412699,1.66981919565217,1.78420554453898,0.0812613471949568,0.515038157548741,-4.15735962855051,"AMD1"
"NM_001303421>COLGALT2",0.752170698412699,0.615930339130435,1.78539612908461,0.0810653718255176,0.515038157548741,-4.15574754784222,"COLGALT2"
"NM_001256909>CYBRD1",1.46026125396825,3.01030604347826,1.78582400984735,0.0809950377892881,0.515038157548741,-4.15516796669946,"CYBRD1"
"NM_001282624>LMNA",1.52807368253968,-4.1064817826087,1.78549192444536,0.0810496207556692,0.515038157548741,-4.15561779940736,"LMNA"
"NM_001276479>LONP1",-1.04125057142857,1.06987743478261,-1.78494058255351,0.081140309842981,0.515038157548741,-4.15636447545545,"LONP1"
"NM_001164579>MOSMO",0.627982539682539,2.12108380434783,1.78473116291243,0.0811747791622159,0.515038157548741,-4.15664803945786,"MOSMO"
"NM_001330262>NFE2L1",-0.444237142857141,4.87840413043478,-1.78330671587078,0.0814095615791939,0.515038157548741,-4.15857606764189,"NFE2L1"
"NM_001145301>RARA",-1.55296111111111,4.31273063043478,-1.78381638577161,0.0813254905842287,0.515038157548741,-4.15788636366046,"RARA"
"NM_001171944>SUN1",0.84493178095238,1.57692164130435,1.78341928864468,0.0813909862182659,0.515038157548741,-4.15842374425366,"SUN1"
"NM_001267561>TJP3",-1.49191184126984,-0.926640360869565,-1.78374719095263,0.0813369001213247,0.515038157548741,-4.15798001031505,"TJP3"
"NM_001242397>TWF1",1.3176835,-0.721557154565217,1.78509691349778,0.0811145866409798,0.515038157548741,-4.15615277786226,"TWF1"
"NM_001348277>ZNF141",0.624292126984127,1.96898793478261,1.78333541651102,0.0814048254181475,0.515038157548741,-4.15853723327325,"ZNF141"
"NM_001145542>ZSCAN18",-1.69088047619048,0.474185658695652,-1.78421246577198,0.0812602067819115,0.515038157548741,-4.1573502596351,"ZSCAN18"
"NM_001018055>BRCC3",0.693564777777778,1.79025099565217,1.78256301760812,0.0815323668394408,0.515416773074195,-4.15958217097322,"BRCC3"
"NM_001365867>AGAP6",-1.43697957777778,-1.71045091956522,-1.78073257083306,0.0818352867735748,0.515608292743321,-4.16205697032959,"AGAP6"
"NM_001164>APBB1",-1.90031782539682,1.20434579143478,-1.78000411722121,0.0819561006356487,0.515608292743321,-4.16304126055843,"APBB1"
"NM_001286537>C2orf49",0.915808047619047,0.716388567391304,1.78127340437415,0.0817456863243153,0.515608292743321,-4.16132597484266,"C2orf49"
"NM_001277058>ERCC6",-1.45109936349206,-2.65559000652174,-1.78007129372089,0.0819449531703092,0.515608292743321,-4.16295050546801,"ERCC6"
"NM_001354071>KIF27",1.42137155555556,-0.117816063043478,1.77971831285317,0.0820035420694808,0.515608292743321,-4.16342734861461,"KIF27"
"NM_001258308>NOP2",-0.573460158730159,3.39545565217391,-1.78162703917908,0.0816871437959263,0.515608292743321,-4.16084789821079,"NOP2"
"NM_001308226>RPS15",-1.84603998412698,-2.96190910869565,-1.78032773806838,0.0819024097374885,0.515608292743321,-4.16260402411746,"RPS15"
"NM_001144827>RPUSD4",1.38094692063492,-0.572811782608696,1.78077911162635,0.0818275730739915,0.515608292743321,-4.16199407269421,"RPUSD4"
"NM_001014999>SLX1A",-2.56690103174603,-1.08046245891304,-1.7805619828025,0.0818635653539418,0.515608292743321,-4.16228750003099,"SLX1A"
"NM_001288767>ARMC5",-1.59210743968254,-0.874824658695652,-1.77875549686963,0.0821635320096046,0.516019758186903,-4.16472761696526,"ARMC5"
"NM_001127198>TMC6",-1.95907234920635,3.09807511086957,-1.77886480011563,0.082145356062563,0.516019758186903,-4.16458003429432,"TMC6"
"NM_001364857>ADGRB2",-1.44533050730159,-1.99801117652174,-1.77433750965333,0.082901023497944,0.516070751044003,-4.17068646977827,"ADGRB2"
"NM_001206924>CD86",-1.38884426507937,-2.41921445434783,-1.77773013350319,0.0823342031171577,0.516070751044003,-4.16611170550099,"CD86"
"NM_001199055>CDIP1",-0.798648444444445,-0.00925178260869565,-1.7765800406982,0.082525988961219,0.516070751044003,-4.1676633633982,"CDIP1"
"NM_001320597>DDX5",1.63677285714286,5.25359369565217,1.77841992151477,0.0822193556333542,0.516070751044003,-4.16518066765836,"DDX5"
"NM_001322348>DIS3",0.794253915873016,1.16171730217391,1.7763342860499,0.0825670187579016,0.516070751044003,-4.16799481617499,"DIS3"
"NM_001289035>KLC4",1.1815692984127,-0.5033533,1.7764718501733,0.0825440497286759,0.516070751044003,-4.16780928623436,"KLC4"
"NM_001303051>KLHL12",0.654716555555558,2.96220719565217,1.77655671475795,0.0825298825930599,0.516070751044003,-4.16769482507747,"KLHL12"
"NM_001284389>NOLC1",-0.519577936507935,3.80140304347826,-1.77492271848687,0.0828030173613712,0.516070751044003,-4.16989787185407,"NOLC1"
"NM_000945>PPP3R1",0.490415238095237,5.94035195652174,1.77610066750773,0.0826060382325611,0.516070751044003,-4.16830986512991,"PPP3R1"
"NM_001243224>RAD9A",-0.871927730158729,2.41351008695652,-1.77601983922449,0.0826195419460854,0.516070751044003,-4.16841885893619,"RAD9A"
"NM_001285439>RICTOR",0.839783015873016,3.78787391304348,1.77565336684315,0.0826807904890939,0.516070751044003,-4.16891298049721,"RICTOR"
"NM_001190992>SLC33A1",-0.6990867,1.34903487173913,-1.7750019385165,0.0827897576840902,0.516070751044003,-4.16979110215631,"SLC33A1"
"NM_001351261>SMUG1",0.607705222222222,1.72534397826087,1.77686716857194,0.0824780733788682,0.516070751044003,-4.16727606121743,"SMUG1"
"NM_001349746>TMCO3",1.01129546825397,0.358371884782609,1.77470124979076,0.0828400957563462,0.516070751044003,-4.1701963375855,"TMCO3"
"NM_000367>TPMT",0.504356507936509,2.85268282608696,1.7741758012583,0.0829281222742791,0.516070751044003,-4.17090434135378,"TPMT"
"NM_001351083>ZDHHC6",1.47434441269841,0.770199239130435,1.77497134277184,0.0827948785227377,0.516070751044003,-4.16983233839408,"ZDHHC6"
"NM_001256173>ZNF85",1.4839793968254,-1.66737199782609,1.77548252372041,0.0827093565109638,0.516070751044003,-4.1691433022181,"ZNF85"
"NM_001185101>CD22",-1.66930991507936,-1.47823887065217,-1.77235464870792,0.0832338203101285,0.517036158697207,-4.17335684955433,"CD22"
"NM_001220500>FCER2",-0.954687333333333,2.05497080434783,-1.77185357276031,0.0833180961688788,0.517036158697207,-4.17403126694661,"FCER2"
"NM_001355001>TP53BP1",-0.606900793650793,1.96049589130435,-1.77226472682967,0.0832489389919292,0.517036158697207,-4.17347789066397,"TP53BP1"
"NM_001319142>AK2",0.976343492063494,3.57730108695652,1.76935641328496,0.0837391593485877,0.517234395709306,-4.17738990072909,"AK2"
"NM_001350027>NDUFAF7",-1.54290102698413,-2.59966215869565,-1.77026018335141,0.0835865631891419,0.517234395709306,-4.17617480616662,"NDUFAF7"
"NM_001136225>RCOR3",-1.30652825396825,-0.82145402173913,-1.77011462669622,0.0836111238139329,0.517234395709306,-4.17637053840847,"RCOR3"
"NM_000593>TAP1",-1.2712826984127,5.61795239130435,-1.7698084391227,0.0836628083606094,0.517234395709306,-4.17678222932887,"TAP1"
"NM_001143958>TMEM30A",1.08841642857143,3.20368139130435,1.77067266782899,0.0835169950935635,0.517234395709306,-4.1756200585614,"TMEM30A"
"NM_001267606>ZNF248",-1.18647185396826,-1.43386196956522,-1.76935332888514,0.0837396805301612,0.517234395709306,-4.17739404672876,"ZNF248"
"NM_001278499>ADORA2A",-2.53262354285714,-0.0361691282608695,-1.75817517183872,0.0856464137391671,0.517632574985964,-4.19237959296662,"ADORA2A"
"NM_001278489>ANAPC15",-1.22383301269841,-0.529779994021739,-1.75887904543856,0.0855252877251817,0.517632574985964,-4.19143833205628,"ANAPC15"
"NM_001320265>AP3M1",1.37163544444444,0.362077708695652,1.76149106805223,0.0850770491041843,0.517632574985964,-4.18794260946625,"AP3M1"
"NM_001166277>ARHGAP25",0.8229306984127,2.1804592173913,1.75692698926625,0.0858615596698718,0.517632574985964,-4.19404795512507,"ARHGAP25"
"NM_001320972>BLZF1",0.956341222222221,-1.90642507456522,1.75823726267319,0.0856357230813456,0.517632574985964,-4.19229657423793,"BLZF1"
"NM_001321119>CCDC115",1.34762841269841,2.56290756521739,1.75976546525638,0.0853729520146074,0.517632574985964,-4.19025250822536,"CCDC115"
"NM_001270433>CDK2AP1",1.35799890793651,-0.0129319478260869,1.76473658885413,0.0845228371917703,0.517632574985964,-4.18359298009058,"CDK2AP1"
"NM_001351593>CFLAR",0.441909428571429,1.96803804347826,1.75758966969519,0.0857472790236742,0.517632574985964,-4.19316231882796,"CFLAR"
"NM_001284317>CRELD2",1.47649917460317,-2.67678427391304,1.76292138292732,0.084832432112451,0.517632574985964,-4.18602653971332,"CRELD2"
"NM_001195056>DDIT3",0.535018301587302,2.05920219565217,1.76236804389893,0.0849269960474235,0.517632574985964,-4.1867679556499,"DDIT3"
"NM_001290331>DENND1C",-0.729873333333332,4.87011326086956,-1.76028091003282,0.0852844745870375,0.517632574985964,-4.18956273147239,"DENND1C"
"NM_001145165>DOHH",-1.97481334920635,-0.625329393478261,-1.76052079154021,0.085243324456318,0.517632574985964,-4.18924166005346,"DOHH"
"NM_001363467>FAM126A",0.990755995238095,-0.0378694260869565,1.76472841817053,0.0845242286329257,0.517632574985964,-4.18360393885594,"FAM126A"
"NM_001278690>FGFR1OP",0.392026666666668,2.20979652173913,1.7654021639189,0.0844095562496156,0.517632574985964,-4.1827001475354,"FGFR1OP"
"NM_001199742>GADD45A",2.29933796825397,-1.11736230434783,1.75947035906545,0.0854236422910266,0.517632574985964,-4.1906473476429,"GADD45A"
"NM_001098208>HNRNPF",-0.818629523809524,2.90780258695652,-1.76480428430942,0.0845113096104975,0.517632574985964,-4.18350218327802,"HNRNPF"
"NM_000883>IMPDH1",-1.59405711111111,1.06516167391304,-1.7660390116943,0.0843012836633733,0.517632574985964,-4.18184558593412,"IMPDH1"
"NM_001134779>IPO11",1.13098233968254,-0.697843773913044,1.7588597077019,0.0855286135435652,0.517632574985964,-4.19146419584747,"IPO11"
"NM_001290187>KRBA1",-1.24529623809524,0.928032595652174,-1.75916536766023,0.085476056984276,0.517632574985964,-4.19105535444766,"KRBA1"
"NM_001199174>MLST8",-1.71582679365079,-3.28748087608696,-1.76718107392898,0.0841074090193628,0.517632574985964,-4.18031244716978,"MLST8"
"NM_001365414>MRTFB",0.920623828571429,0.101552839130435,1.7672050864493,0.0841033367019622,0.517632574985964,-4.1802802030921,"MRTFB"
"NM_001330648>NSUN7",1.4006593968254,-0.185471295652174,1.76043159133985,0.0852586242380332,0.517632574985964,-4.18936105511367,"NSUN7"
"NM_001363570>PDE3B",-0.795952144444444,0.605595580434783,-1.75754531022547,0.0857549249364605,0.517632574985964,-4.19322161163106,"PDE3B"
"NM_001100166>PHACTR2",0.58971834920635,2.30534630434783,1.76271153307268,0.0848682844336414,0.517632574985964,-4.18630773944458,"PHACTR2"
"NM_001319183>RNPEP",-0.691555396825395,1.49531189130435,-1.76445132983083,0.0845714272339257,0.517632574985964,-4.1839755527582,"RNPEP"
"NM_001330103>RUFY2",0.508260571428572,1.82054547826087,1.76117859668621,0.0851305673873169,0.517632574985964,-4.18836102621342,"RUFY2"
"NM_001286793>SPATA13",0.648607619047617,5.01662130434783,1.75749664575875,0.0857633135250512,0.517632574985964,-4.19328665723065,"SPATA13"
"NM_001191005>SRSF10",0.886915865079366,2.32474894565217,1.76449597649367,0.0845638207323941,0.517632574985964,-4.18391567870786,"SRSF10"
"NM_001352385>STK4",0.430270793650794,5.13012304347826,1.76086781378209,0.085183824402569,0.517632574985964,-4.18877712002345,"STK4"
"NM_001287033>STOML2",1.35524328253968,-2.47217309782609,1.76071170965689,0.0852105855463348,0.517632574985964,-4.18898609776817,"STOML2"
"NM_001319990>SUPT5H",0.552208031746033,2.13858089130435,1.76253306230535,0.0848987856885556,0.517632574985964,-4.18654686888998,"SUPT5H"
"NM_001114092>THUMPD3",0.658535380952382,2.48265980434783,1.76084910484322,0.0851870313308438,0.517632574985964,-4.18880216664078,"THUMPD3"
"NM_001290117>TIMM23B",0.98873753968254,-1.19960132608696,1.75889995342515,0.0855216919675544,0.517632574985964,-4.19141036782137,"TIMM23B"
"NM_001331034>TMCC2",1.13179271904762,-0.804849143478261,1.76411491224317,0.0846287614821987,0.517632574985964,-4.18442666941949,"TMCC2"
"NM_001142640>TNRC6C",-0.55693507936508,3.20534152173913,-1.7617350354176,0.0850352833514696,0.517632574985964,-4.1876158799885,"TNRC6C"
"NM_001362760>TRA2A",0.790320058730159,0.221229523913043,1.76299340098235,0.0848201309287821,0.517632574985964,-4.18593002870821,"TRA2A"
"NM_001276414>UNKL",-2.2695013015873,-0.213306119565217,-1.7614131302945,0.0850903951968472,0.517632574985964,-4.18804697836054,"UNKL"
"NM_001287804>ZDHHC16",-1.09670866666667,0.15829842826087,-1.7571130998243,0.0858294516631558,0.517632574985964,-4.19379925692067,"ZDHHC16"
"NM_001032392>PLGLB1",1.47268196222222,-0.19831621,1.75560393436643,0.0860901040361828,0.518132666500957,-4.19581530400578,"PLGLB1"
